song_title,artist_names,artist_ids,song_id
Red Dead Redemption 2 - See The Fire In Your Eyes - Main Theme,['Geek Music'],['4TkCMPznXOjlsYLfzIU1rw'],03lJRHYFJyLz5HMQRHtpu0
Blank Space,['Daniel Jang'],['3MVrehTlNNnn06iUlj4axN'],03vztY9VZpucpjrmt9PHrh
Tchau,"['MC Xangai', 'MC Saci', 'DJ TH DO PRIMEIRO', 'MC Jacaré', 'DJ Sammer']","['67PBOFpTBFaNkhz5IouBwi', '0kj68SnX4WCXwveyBbRX8p', '0GdMuH0u9HyAz8cLvmg7gD', '3pfMg9hiGHJt0x9zDhiL7I', '6PZAe0r2oRjcMwriylvnWw']",043UqjcBUxcuoKfaxujfLA
THAPPAD!,['Prabh Deep'],['7suHsCqUEifucqVyWaljgC'],044qR6dTjjF8NkVeD1Q55Y
Funkin' Around,['Outkast'],['1G9G7WwrXka3Z1r7aIDjI7'],049tw2MgDBdrtzZQjqtcdh
Lamborghini Lemon Froze,['Fizz'],['2j8UHiBiKOIjEhtZig7Npp'],04FBfZUVVKP2dODcib8Wyx
Kdaj obrnil se bo svet,['U-ros'],['7h4gB7PdyzJx8rKqsKkGsI'],04IJd81IK7Zez9nZXKKp7m
JADYMY NA KURWY - WERSJA SZYBSZA NA SZYBSZOM JAZDE,"['DJ LEJSIUR', 'Nakedleisure']","['5q4tjSp5SzsQ8hqBpoFmq6', '5OLmsQfU0LeTBlOv5IhDRi']",04Pua8BFY3n2HPAZe0hCWr
Cybersakkie,['Valiant Swart'],['6cnnXUEWR7vQZfL0eQuYZl'],04RqswcHFl7Hdp7kPQdhEv
Hot Box Freestyle: S2-E5,"['GTK TV', 'Sava', 'BM X MINI', 'OTP']","['1y2GbeRV8TxaRHT3nImEuM', '3pHl57ImAEZbi6j5JK5DWz', '6xNUn9epduXbZmCgsxutSx', '4ZEYRiyt6Usx3BH5jybkC5']",04YXN9O5YItc7GOHab3Afi
Lemon Soda,"['Tenkitsune', 'NGC']","['3npM0ZkW5qRUL5Y7ihHRrU', '1ezy1aCDbS9Q8rVK6LTQFE']",04coFCzwKV0JEz4Gyl6Nw9
Astronauta,['Carlinhos Bahia'],['1RIyx7PWEklPGjKL7ZopXF'],04im9idnOgpqrZPuY48Lwr
talk (speed up),['INDRAGERSN'],['38Z2gYjWHE8Hak4sYcOP9L'],04nJkuBK6GiHPJbMqNN24I
A Rainha É Humilde,"['Dj Bruninho Pzs', 'MC Pipokinha', 'DJ Felipe Original']","['5bSWLXu8tYxI5ISra9j6IF', '7BT8x82CjBZUjJy6xj1G3O', '1wfXG5GrswaEiXW6NJYRrp']",04xgcfgdLfIZu1yIAWOKkm
Cupid Twin Version (Sped Up) - Remix,['Xanemusic'],['6QSOpFwMSqDj21HVu34Wm1'],04yN0zicsJnMM8gYGAjBXg
